mp-22935, CsBrF
mp-22936, Ca2NCl
mp-22937, Na4I2O
mp-22951, BaIF
mp-22956, K2PdCl4
mp-22957, SrClF
mp-22975, Rb2TeCl6
mp-22984, NaBiO2
mp-22988, CsGeCl3
mp-22990, CsICl2
mp-23004, CsMgCl3
mp-23009, Ca2BrN
mp-23017, CsCu2Br3
mp-23018, BiSbO4
mp-23023, LaBrO
mp-23024, SrBrF
mp-23025, LaClO
mp-23033, Sr2NCl
mp-23036, K2SeBr6
mp-23040, Ca2PI
mp-23054, NaBiO3
mp-23056, Sr2BrN
mp-23059, Rb2SnCl6
mp-23060, Cs2PtI6
mp-23067, K2PdCl6
mp-23070, BaBrF
mp-23091, Ba2BiSbO6
mp-23092, Ba2TaBiO6
mp-23097, K2Os(Cl2O)2
mp-23116, CuBiSeO
mp-23120, Cs2NaYCl6
mp-23127, Ba2BiSbO6
mp-23137, Ba2YBiO6
mp-23167, TlCl
mp-2319, P2Os
mp-23193, KCl
mp-23197, TlI
mp-23209, SrCl2
mp-23214, CaCl2
mp-23222, Li3Bi
mp-23231, AgBr
mp-23251, KBr
mp-23259, LiBr
mp-23260, BaI2
mp-23263, LaBr3
mp-23268, NaI
mp-23289, KCl
mp-23295, RbCl
mp-23299, RbCl
mp-23302, RbI
mp-23303, RbBr
mp-23349, Bi(BO2)3
mp-23350, Rb2PtCl6
mp-23353, Cu2HgI4
mp-23364, CsLiCl2
mp-2340, Na2O2
mp-23405, Cs2TeBr6
mp-23406, Cs2PtCl6
mp-23425, Cs2PbCl6
mp-23432, BaClF
mp-23465, Cs2TeCl6
mp-23475, Rb2PbCl6
mp-23484, CsAuCl3
mp-23485, Ag2HgI4
mp-23513, K2PtCl6
mp-2352, Na2O
mp-23550, KBrF4
mp-23703, LiH
mp-2371, Ga2Te5
mp-23710, MgH2
mp-23737, KMgH3
mp-23804, Mg2FeH6
mp-23818, BaLiH3
mp-23859, CaHCl
mp-23860, SrHCl
mp-23861, BaHCl
mp-23862, BaHI
mp-23870, NaH
mp-239, BaS3
mp-23933, AlH3
mp-23949, RbCaH3
mp-23956, K2MgH4
mp-2400, NaS
mp-24007, Rb2HBrO
mp-24066, SrHClO
mp-24084, KH
mp-241, CdF2
mp-24292, Sr2H6Ru
mp-24341, CsBeH3
mp-24423, SrHBr
mp-24424, BaHBr
mp-24428, KH2N
mp-2455, As2Os
mp-24589, K2HBrO
mp-2469, CdS
mp-2472, SrO
mp-24721, RbH
mp-2488, SiOs
mp-2490, GaP
mp-2517, Ca2Si
mp-252, BeTe
mp-2530, Li2Te
mp-25305, Y2Ti2S2O5
mp-2534, GaAs
mp-2542, BeO
mp-2552, TeO3
mp-2574, ZrO2
mp-2576, Sr2Ge
mp-2600, BaTe
mp-2605, CaO
mp-2624, AlSb
mp-2646, Mg3Sb2
mp-2657, TiO2
mp-2659, LiN3
mp-2667, CsAu
mp-267, Te2Ru
mp-2672, K2O2
mp-2691, CdSe
mp-2693, SnSe
mp-2695, Sb2Os
mp-2697, SrO2
mp-27138, K2PdBr4
mp-27193, RbIO3
mp-27207, K2MgCl4
mp-27227, LiAg3O2
mp-27243, K2PtBr4
mp-27253, Au2O3
mp-27255, Ga2TeS2
mp-27294, Ca3AsBr3
mp-27300, RbAuBr3
mp-27303, NaAg3O2
mp-27315, CaTiF6
mp-27369, RbGeCl3
mp-27385, KTlCl4
mp-2741, CaF2
mp-27419, LiBiF6
mp-27420, NaBiF6
mp-27421, RbBiF6
mp-27422, CsBiF6
mp-27456, BaBr2
mp-27546, CaClF
mp-27549, K2AgBi
mp-27562, Na2Pd3O4
mp-2758, SrSe
mp-27608, Be4TeO7
mp-27678, Y2Cl3
mp-27691, K2PtBr6
mp-27716, KTlO
mp-27791, SrBe3O4
mp-27827, Rb2TiCl6
mp-27828, Cs2TiCl6
mp-27829, Rb2SeCl6
mp-27830, Cs2SeCl6
mp-27831, Rb2ZrCl6
mp-27839, K2TiCl6
mp-2784, Na2Te
mp-27869, Ba2PCl
